px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
2.57072	17.1883	4.85103	-2.31798	0.391512	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0.709506	L
2.40787	17.009	4.85103	-2.29841	0.391512	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	6.92448e-310	R
2.25004	16.8287	4.84668	-2.27907	0.39127	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0.00228798	L
2.09443	16.6433	4.84668	-2.25951	0.39127	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	6.92448e-310	R
1.93553	16.3435	4.99503	-2.20681	0.426515	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	3.80845	L
1.78954	16.1413	4.99503	-2.18548	0.426515	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	6.92448e-310	R
1.57778	15.9901	5.00548	-2.20368	0.383608	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	1.79254	L
1.4319	15.7872	5.00548	-2.1845	0.383608	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	6.92448e-310	R
1.25965	15.5358	5.10105	-2.16248	0.386196	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	1.08742	L
1.11964	15.323	5.10105	-2.14317	0.386196	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	6.92448e-310	R
0.899655	15.0839	5.22356	-2.14666	0.360818	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	2.39316	L
